NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNIP	NA	65	0.29297059774398804	0.02156796	No	
row_1	JAK2	NA	740	0.13333696126937866	3.2473903E-4	No	
row_2	SOCS3	NA	775	0.13025154173374176	0.00966773	No	
row_3	PLA2G4A	NA	1162	0.11031679809093475	3.6450237E-4	No	
row_4	TNFAIP3	NA	1198	0.10891129076480865	0.007860067	No	
row_5	SOCS1	NA	1263	0.1062876284122467	0.0137367025	No	
row_6	FAS	NA	1270	0.10606219619512558	0.02238978	No	
row_7	CD38	NA	1274	0.10581757128238678	0.031166827	No	
row_8	SAMHD1	NA	1427	0.0999070480465889	0.032264132	No	
row_9	MTHFD2	NA	1441	0.0995456650853157	0.040030412	No	
row_10	CD274	NA	1643	0.09319904446601868	0.038200483	No	
row_11	SELP	NA	1880	0.08559352904558182	0.03404241	No	
row_12	EPSTI1	NA	1884	0.08552578836679459	0.041108627	No	
row_13	APOL6	NA	1897	0.08530434966087341	0.047722396	No	
row_14	PDE4B	NA	1899	0.08529078215360641	0.054865193	No	
row_15	NCOA3	NA	2061	0.08112473040819168	0.053945154	No	
row_16	VCAM1	NA	2117	0.07910763472318649	0.057963982	No	
row_17	CD69	NA	2157	0.07804165780544281	0.06266409	No	
row_18	RBCK1	NA	2513	0.07099203765392303	0.051539455	No	
row_19	ST3GAL5	NA	2536	0.07077004015445709	0.056445837	No	
row_20	CFB	NA	2540	0.07075158506631851	0.062266417	No	
row_21	TNFAIP6	NA	2580	0.06986895948648453	0.066277474	No	
row_22	ST8SIA4	NA	2681	0.06760481745004654	0.0671576	No	
row_23	HLA-DMA	NA	3082	0.06076415628194809	0.05300175	No	
row_24	NLRC5	NA	3173	0.059379514306783676	0.053670358	No	
row_25	IRF5	NA	3352	0.056378621608018875	0.049844585	No	
row_26	FCGR1A	NA	3363	0.05632477253675461	0.054111436	No	
row_27	IL10RA	NA	3581	0.05335259065032005	0.048150834	No	
row_28	GBP6	NA	3589	0.05328511446714401	0.052306	No	
row_29	RIPK2	NA	3651	0.05241355299949646	0.053785022	No	
row_30	BPGM	NA	3748	0.051008451730012894	0.05345867	No	
row_31	IL15	NA	3794	0.050414469093084335	0.055540305	No	
row_32	IL7	NA	3936	0.048368655145168304	0.052822504	No	
row_33	DDX60	NA	4022	0.047279324382543564	0.052711915	No	
row_34	IFIT2	NA	4073	0.04675032198429108	0.05424363	No	
row_35	BTG1	NA	4158	0.045797429978847504	0.0540563	No	
row_36	HELZ2	NA	4185	0.04553401097655296	0.05664221	No	
row_37	PTPN1	NA	4317	0.04367291182279587	0.054010477	No	
row_38	STAT2	NA	4366	0.04307995364069939	0.055329137	No	
row_39	MX1	NA	4451	0.04196922853589058	0.05481904	No	
row_40	IRF9	NA	4475	0.041742950677871704	0.05722991	No	
row_41	LATS2	NA	4737	0.03862887993454933	0.047907244	No	
row_42	PTPN2	NA	4912	0.03675604611635208	0.04261985	No	
row_43	PELI1	NA	4944	0.036506179720163345	0.044203624	No	
row_44	CASP3	NA	5214	0.03316253796219826	0.0340345	No	
row_45	ARL4A	NA	5401	0.030915718525648117	0.027676333	No	
row_46	XAF1	NA	5795	0.02691708318889141	0.011004167	No	
row_47	GCH1	NA	5982	0.025136655196547508	0.0041587567	No	
row_48	BATF2	NA	6003	0.024884089827537537	0.0052928235	No	
row_49	SPPL2A	NA	6096	0.023900354281067848	0.0028737357	No	
row_50	SERPING1	NA	6171	0.02326830103993416	0.0012689122	No	
row_51	IDO1	NA	6261	0.02252882532775402	-0.0011212187	No	
row_52	STAT1	NA	6301	0.022164469584822655	-0.0011321983	No	
row_53	VAMP8	NA	6465	0.020766228437423706	-0.007237545	No	
row_54	SP110	NA	6526	0.020171597599983215	-0.008428693	No	
row_55	IL6	NA	6571	0.019742127507925034	-0.00888489	No	
row_56	MX2	NA	6733	0.018254991620779037	-0.015105569	No	
row_57	IRF7	NA	6971	0.016286971047520638	-0.025155177	No	
row_58	LYSMD2	NA	6994	0.016075266525149345	-0.02486019	No	
row_59	PLSCR1	NA	7044	0.015588087029755116	-0.02590761	No	
row_60	P2RY14	NA	7411	0.012647721916437149	-0.042481516	No	
row_61	HIF1A	NA	7458	0.012337800115346909	-0.04365838	No	
row_62	SLC25A28	NA	7664	0.01048023160547018	-0.052655242	No	
row_63	TRAFD1	NA	7805	0.009422489441931248	-0.058608457	No	
row_64	CIITA	NA	8164	0.0065387762151658535	-0.07531184	No	
row_65	ZBP1	NA	8345	0.005177560728043318	-0.08355085	No	
row_66	TAP1	NA	8383	0.004868860822170973	-0.08492365	No	
row_67	WARS1	NA	8428	0.00444068294018507	-0.08666994	No	
row_68	B2M	NA	8659	0.0028233551420271397	-0.0975173	No	
row_69	NOD1	NA	8694	0.0025843814946711063	-0.09893812	No	
row_70	CXCL10	NA	8891	0.0011277612065896392	-0.108289726	No	
row_71	TOR1B	NA	8903	0.0010227304883301258	-0.10873368	No	
row_72	OASL	NA	8912	9.609281551092863E-4	-0.109038234	No	
row_73	DDX58	NA	8931	8.190976805053651E-4	-0.10983673	No	
row_74	IFIH1	NA	9001	3.458662540651858E-4	-0.11313319	No	
row_75	CASP8	NA	9007	3.029380168300122E-4	-0.11334863	No	
row_76	RAPGEF6	NA	9122	-5.606411723420024E-4	-0.11879587	No	
row_77	CCL7	NA	9207	-0.0011039829114452004	-0.12275138	No	
row_78	RIPK1	NA	9233	-0.0013749587815254927	-0.12384039	No	
row_79	METTL7B	NA	9350	-0.002115316456183791	-0.12925294	No	
row_80	CD40	NA	9428	-0.002701749326661229	-0.13273636	No	
row_81	IFIT1	NA	9437	-0.0028025831561535597	-0.13288565	No	
row_82	ISOC1	NA	9657	-0.004508983809500933	-0.14306071	No	
row_83	CCL5	NA	9736	-0.005015216767787933	-0.14639728	No	
row_84	CD86	NA	9857	-0.0058862194418907166	-0.15168469	No	
row_85	IRF2	NA	10055	-0.007243288215249777	-0.1605689	No	
row_86	ICAM1	NA	10160	-0.00804967898875475	-0.16490275	No	
row_87	RTP4	NA	10382	-0.009626680985093117	-0.17474273	No	
row_88	HLA-A	NA	10383	-0.009628909640014172	-0.1739309	No	
row_89	IFI35	NA	10434	-0.010036121122539043	-0.17549461	No	
row_90	IFNAR2	NA	10477	-0.010465563274919987	-0.17663653	No	
row_91	PIM1	NA	10643	-0.011608895845711231	-0.18361035	No	
row_92	SLAMF7	NA	10718	-0.012126860208809376	-0.18615453	No	
row_93	CMTR1	NA	10723	-0.01215671468526125	-0.18532236	No	
row_94	NAMPT	NA	10727	-0.01216826867312193	-0.18444103	No	
row_95	C1S	NA	11028	-0.014627957716584206	-0.19766694	No	
row_96	PSMB8	NA	11041	-0.014731239527463913	-0.1970033	No	
row_97	PTGS2	NA	11074	-0.015076597221195698	-0.19727449	No	
row_98	FGL2	NA	11089	-0.015212374739348888	-0.19666667	No	
row_99	HERC6	NA	11139	-0.015564003959298134	-0.19771613	No	
row_100	NFKBIA	NA	11185	-0.0159351397305727	-0.19854149	No	
row_101	CASP7	NA	11263	-0.016469134017825127	-0.20086415	No	
row_102	HLA-DRB1	NA	11328	-0.01696907728910446	-0.2025181	No	
row_103	DHX58	NA	11358	-0.01727999374270439	-0.20245893	No	
row_104	PSMA2	NA	11400	-0.017581911757588387	-0.20295267	No	
row_105	CASP1	NA	11625	-0.019350117072463036	-0.21211745	No	
row_106	VAMP5	NA	11764	-0.020260168239474297	-0.21706052	No	
row_107	TDRD7	NA	11795	-0.020504135638475418	-0.21677771	No	
row_108	IFIT3	NA	11820	-0.020698687061667442	-0.21618931	No	
row_109	ISG20	NA	11841	-0.02082892693579197	-0.21539715	No	
row_110	ARID5B	NA	11891	-0.021131427958607674	-0.21597719	No	
row_111	PSMB9	NA	11953	-0.02164524979889393	-0.21709229	No	
row_112	MARCHF1	NA	11992	-0.02198653668165207	-0.21707007	No	
row_113	SAMD9L	NA	12226	-0.023673783987760544	-0.2263041	No	
row_114	TRIM26	NA	12342	-0.024548504501581192	-0.22977708	No	
row_115	SOD2	NA	12361	-0.024717627093195915	-0.22856066	No	
row_116	IFITM2	NA	12547	-0.02595791406929493	-0.23528863	No	
row_117	XCL1	NA	12612	-0.026487432420253754	-0.23614007	No	
row_118	PSME1	NA	12642	-0.026744017377495766	-0.23528297	No	
row_119	RSAD2	NA	12996	-0.029892468824982643	-0.24977638	No	
row_120	EIF2AK2	NA	13043	-0.030266128480434418	-0.24944167	No	
row_121	MT2A	NA	13485	-0.03411609306931496	-0.26782036	No	
row_122	PSMB2	NA	13523	-0.03442714363336563	-0.26670104	No	
row_123	USP18	NA	13566	-0.03481756150722504	-0.26578984	No	
row_124	TRIM14	NA	13620	-0.035176120698451996	-0.26537853	No	
row_125	PSME2	NA	13633	-0.03530062362551689	-0.26298067	No	
row_126	ADAR	NA	13682	-0.035717178136110306	-0.26228276	No	
row_127	SECTM1	NA	14370	-0.04201344773173332	-0.29185218	No	
row_128	CXCL11	NA	14434	-0.04265539348125458	-0.29129228	No	
row_129	NUP93	NA	14456	-0.042969703674316406	-0.28868157	No	
row_130	NMI	NA	14697	-0.04534520208835602	-0.29642582	No	
row_131	LCP2	NA	14708	-0.04540679603815079	-0.2930795	No	
row_132	CMPK2	NA	14855	-0.04691239446401596	-0.29616106	No	
row_133	PSMA3	NA	14989	-0.04846818745136261	-0.2984849	No	
row_134	TAPBP	NA	15211	-0.05065084248781204	-0.30486608	No	
row_135	PSMB10	NA	15223	-0.050724517554044724	-0.3011196	No	
row_136	IRF8	NA	15423	-0.05268722400069237	-0.30626872	Yes	
row_137	HLA-DQA1	NA	15424	-0.05271194502711296	-0.3018245	Yes	
row_138	NFKB1	NA	15518	-0.05352911353111267	-0.30179375	Yes	
row_139	TRIM21	NA	15591	-0.05431639030575752	-0.30068445	Yes	
row_140	IFITM3	NA	15678	-0.0552850104868412	-0.30016828	Yes	
row_141	CDKN1A	NA	15804	-0.05674763023853302	-0.30140847	Yes	
row_142	CASP4	NA	15834	-0.05713065713644028	-0.29798943	Yes	
row_143	IRF4	NA	15887	-0.057802751660346985	-0.29562226	Yes	
row_144	PNPT1	NA	16060	-0.05983908474445343	-0.2988671	Yes	
row_145	HLA-B	NA	16118	-0.06053769960999489	-0.2965103	Yes	
row_146	PARP14	NA	16357	-0.06381184607744217	-0.30260125	Yes	
row_147	STAT4	NA	16449	-0.06484195590019226	-0.3015203	Yes	
row_148	SRI	NA	16524	-0.06572601944208145	-0.29954544	Yes	
row_149	RNF31	NA	16534	-0.0658949464559555	-0.2944235	Yes	
row_150	LAP3	NA	16758	-0.06926779448986053	-0.29933146	Yes	
row_151	HLA-G	NA	16850	-0.07064472883939743	-0.29776126	Yes	
row_152	OAS2	NA	16860	-0.07085898518562317	-0.2922208	Yes	
row_153	PARP12	NA	16893	-0.07132003456354141	-0.28775004	Yes	
row_154	CSF2RB	NA	16980	-0.07252216339111328	-0.28578055	Yes	
row_155	STAT3	NA	17188	-0.07538007199764252	-0.289402	Yes	
row_156	TNFAIP2	NA	17261	-0.07642810046672821	-0.28642845	Yes	
row_157	C1R	NA	17341	-0.07762274146080017	-0.28369156	Yes	
row_158	OAS3	NA	17528	-0.08058198541402817	-0.2858623	Yes	
row_159	CCL2	NA	17695	-0.08324539661407471	-0.28684452	Yes	
row_160	TRIM25	NA	17749	-0.0841650515794754	-0.2823029	Yes	
row_161	UBE2L6	NA	18176	-0.09173878282308578	-0.29510036	Yes	
row_162	IFI30	NA	18229	-0.09257100522518158	-0.28980184	Yes	
row_163	KLRK1	NA	18274	-0.09331129491329193	-0.2840553	Yes	
row_164	AUTS2	NA	18297	-0.09359268844127655	-0.2772247	Yes	
row_165	IL15RA	NA	18393	-0.09539101272821426	-0.27376089	Yes	
row_166	ZNFX1	NA	18451	-0.09700437635183334	-0.26832956	Yes	
row_167	IFI44	NA	18530	-0.09849691390991211	-0.26378453	Yes	
row_168	CFH	NA	18587	-0.0996704250574112	-0.25808024	Yes	
row_169	CD74	NA	18691	-0.10172085464000702	-0.25446832	Yes	
row_170	MYD88	NA	18736	-0.10252287983894348	-0.24794516	Yes	
row_171	IFI44L	NA	18773	-0.10325154662132263	-0.24097498	Yes	
row_172	EIF4E3	NA	18837	-0.10457712411880493	-0.23519436	Yes	
row_173	BANK1	NA	18932	-0.10678564757108688	-0.23072165	Yes	
row_174	MVP	NA	18996	-0.10836514085531235	-0.22462167	Yes	
row_175	TNFSF10	NA	19031	-0.1094457134604454	-0.21703283	Yes	
row_176	RNF213	NA	19047	-0.11008787155151367	-0.20847413	Yes	
row_177	IL18BP	NA	19154	-0.11336764693260193	-0.20402485	Yes	
row_178	UPP1	NA	19238	-0.1155223399400711	-0.19828539	Yes	
row_179	BST2	NA	19240	-0.11561131477355957	-0.18858622	Yes	
row_180	CMKLR1	NA	19277	-0.1165645644068718	-0.1804936	Yes	
row_181	PNP	NA	19476	-0.12167539447546005	-0.17977804	Yes	
row_182	IL2RB	NA	19671	-0.12941135466098785	-0.17821747	Yes	
row_183	IRF1	NA	19706	-0.13061603903770447	-0.16884375	Yes	
row_184	PTPN6	NA	19720	-0.13114210963249207	-0.15841353	Yes	
row_185	PML	NA	19769	-0.13313797116279602	-0.14950195	Yes	
row_186	CXCL9	NA	19840	-0.13609832525253296	-0.14140111	Yes	
row_187	GBP4	NA	19872	-0.13770568370819092	-0.13128506	Yes	
row_188	SSPN	NA	19901	-0.13867385685443878	-0.12094279	Yes	
row_189	IFI27	NA	19905	-0.13894832134246826	-0.10937244	Yes	
row_190	PFKP	NA	19931	-0.1400078386068344	-0.0987731	Yes	
row_191	FPR1	NA	20119	-0.14865629374980927	-0.09525258	Yes	
row_192	IL4R	NA	20182	-0.152890145778656	-0.085350424	Yes	
row_193	LGALS3BP	NA	20207	-0.1547190099954605	-0.07346257	Yes	
row_194	OGFR	NA	20331	-0.16300678253173828	-0.065647505	Yes	
row_195	ISG15	NA	20391	-0.16840925812721252	-0.054292314	Yes	
row_196	GPR18	NA	20456	-0.17360982298851013	-0.04273964	Yes	
row_197	GZMA	NA	20760	-0.21643154323101044	-0.039095793	Yes	
row_198	LY6E	NA	20890	-0.2797579765319824	-0.021726443	Yes	
row_199	ITGB7	NA	20904	-0.2897052466869354	0.0020724747	Yes	
